"","hospital","address","bed_availability","queue","last_update","tlp_number","province","district","scraped_at","bed_type"
"1","RS Umum Daerah Cut Nyak Dhien","Jl. Gajah Mada Meulaboh ","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","12 jam","081260111008","11","1107",2021-08-15 20:55:45,"COVID-19"
"2","RS Umum Daerah Teungku Peukan","Jl. Nasional padang Meurante Kecamatan Susoh","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","29 jam","082275566906","11","1112",2021-08-15 20:55:45,"COVID-19"
"3","RS Umum Daerah Dr. H. Yulidin Away","Jl. T. Ben Mahmud Nomor 86 A Tapaktuan","Tersedia 4 bed kosong IGD","tanpa antrian pasien.","36 jam","082198880051","11","1103",2021-08-15 20:55:47,"COVID-19"
"4","RS Umum Daerah Datu Beru Takengon","Jl. Rumah Sakit No.153 Kec. Kebayakan ","Bed IGD Penuh!","tanpa antrian pasien.","29 jam","064321396","11","1106",2021-08-15 20:55:47,"COVID-19"
"5","RS Daerah Kalabahi","Jl. Dr Sutomo Kalabahi Kab. Alor","Tersedia 8 bed kosong IGD","tanpa antrian pasien.","37 jam","082339126402","53","5307",2021-08-15 20:55:50,"COVID-19"
"6","RS Umum Wira Husada","Jl Kartini Nomor 209 Kisaran","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","9 jam","082398963833","12","1208",2021-08-15 20:55:50,"COVID-19"
"7","RS Umum Daerah H. Abdul Manan Simatupang","Jl. Sisingamangaraja No. 310 Kisaran","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","35 jam","081260809667","12","1208",2021-08-15 20:55:50,"COVID-19"
"8","RS Umum Utama","Jl. HOS. Cokroaminoto No. 93 Kel. Kisaran Kota Kec. Kisaran Barat","Bed IGD Penuh!","tanpa antrian pasien.","7 jam","082160373207","12","1208",2021-08-15 20:55:50,"COVID-19"
"9","RS Umum Setio Husodo","Jl SM. Raja No.67 Kisaran","Bed IGD Penuh!","tanpa antrian pasien.","12 jam","08576868040","12","1208",2021-08-15 20:55:50,"COVID-19"
"10","RS Umum Bunda Mulia","Jl. Abdi Setia Bakti Kel. Sei Renggas Kec. Kota Kisaran Barat","Bed IGD Penuh!","tanpa antrian pasien.","28 jam","081264299098","12","1208",2021-08-15 20:55:50,"COVID-19"
"11","RS Umum Sei Dadap","Jl. Protokol Sei Dadap-Sumut","Bed IGD Penuh!","tanpa antrian pasien.","34 jam","082166064110","12","1208",2021-08-15 20:55:50,"COVID-19"
"12","RS Umum Siloam Bali","Jl. Sunset Road No. 818 Kel. Kuta, Kec Kuta","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","5 jam","0361779900","51","5103",2021-08-15 20:55:51,"COVID-19"
"13","RS Umum Kasih Ibu Kedonganan","Jl. Uluwatu No. 69 Kedonganan","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","6 jam","0361703270","51","5103",2021-08-15 20:55:51,"COVID-19"
"14","RS Universitas Udayana","Jl. Rumah Sakit Universitas Udayana No. 1, Lingk. Perarudan Kel. Jimbaran Kec. Kuta Selatan","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","11 jam","03618953670","51","5103",2021-08-15 20:55:51,"COVID-19"
"15","RS Bali Jimbaran","Jl. Kampus Unud No. 52 ","Tersedia 7 bed kosong IGD","tanpa antrian pasien.","11 jam","03614725123","51","5103",2021-08-15 20:55:51,"COVID-19"
"16","RS Umum Garba Med","Jl. Raya Kerobokan No. 53 Lingkungan Jambe Kerobokan Kuta Utara","Tersedia 7 bed kosong IGD","tanpa antrian pasien.","11 jam","03619067493","51","5103",2021-08-15 20:55:51,"COVID-19"
"17","RS Daerah Mangusada","Jl. Raya Kapal Mengwi, Badung ","Bed IGD Penuh!","dengan antrian 9 pasien","6 menit","03619006813","51","5103",2021-08-15 20:55:51,"COVID-19"
"18","RS Umum Surya Husadha Nusa Dua","Jl. Siligita Blok I No 14, Nusa Dua, Kuta Selatan","Bed IGD Penuh!","dengan antrian 3 pasien","47 menit","0361775827","51","5103",2021-08-15 20:55:51,"COVID-19"
"19","RS Umum Daerah Balangan ","Jl. Lingkar Timur Km.1,7 Paringin Kab.Balangan ","Tersedia 4 bed kosong IGD","tanpa antrian pasien.","3 jam","05262094039","63","6311",2021-08-15 20:55:51,"COVID-19"
"20","RS Umum Daerah Kesehatan Kerja","Jl. Raya Rancaekek KM. 27 NO. 612 Desa Nanjungmekar Kec. Rancaekek","Tersedia 4 bed kosong IGD","tanpa antrian pasien.","kurang dari 1 menit","0227798778","32","3204",2021-08-15 20:55:52,"COVID-19"
"21","RS Umum Daerah Al Ihsan Provinsi Jawa Barat","  Jl. Ki Astramanggala Bale Endah Kab. Bandung","Tersedia 30 bed kosong IGD","tanpa antrian pasien.","42 menit","02287799430","32","3204",2021-08-15 20:55:52,"COVID-19"
"22","RS Umum Daerah Cicalengka","  Jl. H. Darham No.35 - Cikopo, Cicalengka Kab. Bandung ","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","2 jam","0227949734","32","3204",2021-08-15 20:55:52,"COVID-19"
"23","RS Umum Daerah Soreang"," Jl. Alun-Alun Utara No. 1 Soreang","Tersedia 4 bed kosong IGD","tanpa antrian pasien.","2 jam","0225891355","32","3204",2021-08-15 20:55:52,"COVID-19"
"24","RS Umum Daerah Majalaya","Jl. Raya Cipaku No.87 Majalaya Kabupaten Bandung","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","4 jam","0225950035","32","3204",2021-08-15 20:55:52,"COVID-19"
"25","RS Umum Karya Pangalengan Bhakti Sehat","Jl. Raya Pangalengan No. 340 Pangalengan","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","6 jam","082130781625","32","3204",2021-08-15 20:55:52,"COVID-19"
"26","RS Umum AMC ","Jl. Raya Cileunyi No.1, Cileunyi Wetan, Cileunyi, Bandung, Jawa Barat 40622","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","7 jam","0813-1656-0227","32","3204",2021-08-15 20:55:52,"COVID-19"
"27","RS Unggul Karsa Medika","Jl. Taman Kopo Indah III Blok H No. 1, Desa MekarRahayu, Kecamatan MargaAsih, Kabupaten Bandung","Bed IGD Penuh!","tanpa antrian pasien.","12 jam","02286011220","32","3204",2021-08-15 20:55:52,"COVID-19"
"28","RS Umum Daerah Lembang","Jl. Raya Lembang KM.11,4 No.11 Desa Gudang Kahuripan Kec. Lembang","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","3 jam","0222786879","32","3217",2021-08-15 20:55:54,"COVID-19"
"29","RS Umum Cahya Kawaluyan","Jl. Parahyangan KM. 3 - Kota Baru Parahyangan Kec. Padalarang KBB","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","3 jam","0226803700","32","3217",2021-08-15 20:55:54,"COVID-19"
"30","RS Karisma Cimareme","Jl. Raya Cimareme No. 235 RT. 03 RW. 01 Kec.Ngamprah","Tersedia 4 bed kosong IGD","tanpa antrian pasien.","3 jam","0226866221","32","3217",2021-08-15 20:55:54,"COVID-19"
"31","RS Umum Daerah Cililin","Jl. Blok Cinta Karya Desa Cililin Kecamatan Cililin Kabupaten Bandung Barat","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","11 jam","082216236728","32","3217",2021-08-15 20:55:54,"COVID-19"
"32","RS Umum Daerah Cikalong Wetan","Jl. Padalarang - Purwakarta KM 11 Cikalong Wetan","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","12 jam","022868666243","32","3217",2021-08-15 20:55:54,"COVID-19"
"33","RS Jiwa Provinsi Jawa Barat","Jl. Kolonel Masturi KM 7 Cisarua - Bandung Barat","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","12 jam","0222700909","32","3217",2021-08-15 20:55:54,"COVID-19"
"34","RS Ibu dan Anak Graha Medika Padalarang","Jl. Raya Padalarang Ruko Padalarang Point No. 527 ","Tersedia 8 bed kosong IGD","tanpa antrian pasien.","13 jam","02287785998","32","3217",2021-08-15 20:55:54,"COVID-19"
"35","RS Umum Daerah Kabupaten Banggai ","Jl. Imam Bonjol KM 3 No. 14 Luwuk","Tersedia 9 bed kosong IGD","tanpa antrian pasien.","7 jam","046121820","72","7202",2021-08-15 20:55:54,"COVID-19"
"36","RS Umum Daerah Banggai","Jl. KM 7.Adean Kabupaten Banggai Laut","Tersedia 8 bed kosong IGD","tanpa antrian pasien.","14 jam","085394566701","72","7211",2021-08-15 20:55:55,"COVID-19"
"37","RS  Jiwa Sungai Liat","Jl. Jend Sudirman No. 345 Kel. Parit Padang Kec. Sungai Liat ","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","12 jam","081368334999","19","1901",2021-08-15 20:55:55,"COVID-19"
