nama	hospital	address	keyword	keyword1	keyword2	keyword3	keyword4	keyword5	keyword6	keyword7	keyword8	keyword9	keyword10	keyword11	keyword12
Kota Bogor	BMC Mayapada Hospital	Jl. Pajajaran Indah V No.97, Bogor Timur Kota Bogor	BMC Mayapada Hospital Kota Bogor	BMC	Mayapada	Hospital	Kota	Bogor							
Kota Bogor	Bogor Senior Hospital	Jl. Raya Tajur No. 168 Muarasari Bogor	Bogor Senior Hospital Kota Bogor	Bogor	Senior	Hospital	Kota	Bogor							
Sleman	Charitas Hospital Klepu	Klepu Sendangmulyo Minggir	Charitas Hospital Klepu Sleman	Charitas	Hospital	Klepu	Sleman								
Kota Jakarta Selatan	Mayapada Hospital Kuningan	Jl. HR. Rasuna Said Kav. C 17 Kel. Karet Kuningan Kec. Setiabudi	Mayapada Hospital Kuningan Kota Jakarta Selatan	Mayapada	Hospital	Kuningan	Kota	Jakarta	Selatan						
Tangerang	Metro Hospitals Cikupa	JL. Raya Serang Km. 16,8 Cikupa	Metro Hospitals Cikupa Tangerang	Metro	Hospitals	Cikupa	Tangerang								
Kota Medan	RS AL Dr. Komang Makes Belawan	Jl. Bengkalis Belawan No.1 Medan	RS AL Dr. Komang Makes Belawan Kota Medan	RS	AL	Dr.	Komang	Makes	Belawan	Kota	Medan				
Kota Makassar	RS AL Jala Ammari Makassar	Jl. Satando No 27 Kel Tamalabba Kec Ujung Tanah	RS AL Jala Ammari Makassar Kota Makassar	RS	AL	Jala	Ammari	Makassar	Kota	Makassar					
Kota Lubuklinggau	RS AR Bunda Kota Lubuk Linggau	Jl. Garuda No. 245 RT. 03 Kel. Bandung Kiri Kec. Lubuklinggau Barat I Kota Lubuklinggau, Sumsel	RS AR Bunda Kota Lubuk Linggau Kota Lubuklinggau	RS	AR	Bunda	Kota	Lubuk	Linggau	Kota	Lubuklinggau				
Kota Prabumulih	RS AR Bunda Kota Prabumulih	Jl. Angkatan 45 Kel.Prabumulih Timur	RS AR Bunda Kota Prabumulih Kota Prabumulih	RS	AR	Bunda	Kota	Prabumulih	Kota	Prabumulih					
Pangkajene Dan Kepulauan	RS AU dr. Dody Sardjoto	Jl. By Pass Bandar Udara Internasional Sultan Hasanuddin	RS AU dr. Dody Sardjoto Pangkajene Dan Kepulauan	RS	AU	dr.	Dody	Sardjoto	Pangkajene	Dan	Kepulauan				
Lamongan	RS Abdurrahman Syamsuri (Arsy)	Jl. Raya Deandles km-74 Paciran Kab. Lamongan	RS Abdurrahman Syamsuri (Arsy) Lamongan	RS	Abdurrahman	Syamsuri	(Arsy)	Lamongan							
Kota Surabaya	RS Adi Husada Undaan	Jl. Undaan Wetan No. 40-44, Surabaya	RS Adi Husada Undaan Kota Surabaya	RS	Adi	Husada	Undaan	Kota	Surabaya						
Lampung Selatan	RS Airan Raya	Airan Raya No. 99 Way Huwi Jati Agung	RS Airan Raya Lampung Selatan	RS	Airan	Raya	Lampung	Selatan							
Kota Makassar	RS Akademis Jaury	Jl. Jend. M. Jusuf No. 57 Makassar	RS Akademis Jaury Kota Makassar	RS	Akademis	Jaury	Kota	Makassar							
Banyuwangi	RS Al Huda	Jl. Raya Gambiran No. 225, Desa Gambiran, Kec. Gambiran, Kab. Banyuwangi	RS Al Huda Banyuwangi	RS	Al	Huda	Banyuwangi								
Jombang	RS Al-Azis	Jl Raya Tembelang, Kec. Tembelang Kab. Jombang	RS Al-Azis Jombang	RS	Al-Azis	Jombang									
