"","hospital","address","bed_class1","last_update_class1","bed_class2","last_update_class2","bed_class3","last_update_class3","tlp_number","province","district","scraped_at","bed_type"
"1","RS Umum Daerah Dr. H. Yulidin Away","Jl. T. Ben Mahmud Nomor 86 A Tapaktuan",42,"12 jam",49,"12 jam",20,"12 jam","082198880051","11","1103",2021-07-21 20:23:37,"Non COVID-19"
"2","RS Umum Daerah Tamiang","Jl. Kesehatan Kab.Aceh Tamiang ",18,"22 menit",35,"22 menit",11,"22 menit","085372458720","11","1114",2021-07-21 20:23:37,"Non COVID-19"
"3","RS Umum Daerah dr. Zubir Mahmud","Jl. Medan-Banda Aceh Km. 372 Desa Seuneubok Barat Kec.Idi timur Kab.Aceh timur",1,NA,16,NA,99,NA,"064621139","11","1105",2021-07-21 20:23:37,"Non COVID-19"
"4","RS Umum Daerah Lubuk Basung","Jl. M.Hatta Padang Baru,Lubuk Basung",33,NA,30,NA,30,NA,"081261466699","13","1307",2021-07-21 20:23:38,"Non COVID-19"
"5","RS Daerah Kalabahi","Jl. Dr Sutomo Kalabahi Kab. Alor",5,"9 jam",18,"9 jam",48,"9 jam","082339126402","53","5307",2021-07-21 20:23:38,"Non COVID-19"
"6","RS Umum Daerah H. Abdul Manan Simatupang","Jl. Sisingamangaraja No. 310 Kisaran",14,"12 jam",11,"11 jam",32,"11 jam","081260809667","12","1208",2021-07-21 20:23:38,"Non COVID-19"
"7","RS Umum Ibu Kartini","Jl Syech Silau Rengas Kisaran",2,"12 jam",16,"10 jam",13,"10 jam","hotline tidak tersedia","12","1208",2021-07-21 20:23:38,"Non COVID-19"
"8","RS Umum Wira Husada","Jl Kartini Nomor 209 Kisaran",7,NA,12,NA,45,NA,"082398963833","12","1208",2021-07-21 20:23:38,"Non COVID-19"
"9","RS Umum Bunda Mulia","Jl. Abdi Setia Bakti Kel. Sei Renggas Kec. Kota Kisaran Barat",NA,NA,NA,NA,NA,NA,"081264299098","12","1208",2021-07-21 20:23:38,"Non COVID-19"
"10","RS Khusus Bedah BIMC","Jl. By Pass Ngurah Rai No.100X, Kuta - Badung",NA,NA,NA,NA,NA,NA,"0361761263","51","5103",2021-07-21 20:23:38,"Non COVID-19"
"11","RS Umum Kasih Ibu Kedonganan","Jl. Uluwatu No. 69 Kedonganan",6,NA,4,NA,4,NA,"0361703270","51","5103",2021-07-21 20:23:38,"Non COVID-19"
"12","RS Umum Daerah Al Ihsan Provinsi Jawa Barat","  Jl. Ki Astramanggala Bale Endah Kab. Bandung",5,NA,10,NA,15,NA,"02287799430","32","3204",2021-07-21 20:23:39,"Non COVID-19"
"13","RS Umum Daerah Soreang"," Jl. Alun-Alun Utara No. 1 Soreang",10,"13 jam",34,"13 jam",43,"13 jam","0225891355","32","3204",2021-07-21 20:23:39,"Non COVID-19"
"14","RS Unggul Karsa Medika","Jl. Taman Kopo Indah III Blok H No. 1, Desa MekarRahayu, Kecamatan MargaAsih, Kabupaten Bandung",2,"12 jam",3,"12 jam",27,"12 jam","02286011220","32","3204",2021-07-21 20:23:39,"Non COVID-19"
"15","RS Umum Daerah Kesehatan Kerja","Jl. Raya Rancaekek KM. 27 NO. 612 Desa Nanjungmekar Kec. Rancaekek",4,"1 menit",6,"1 menit",13,"1 menit","0227798778","32","3204",2021-07-21 20:23:39,"Non COVID-19"
"16","RS Umum Karya Pangalengan Bhakti Sehat","Jl. Raya Pangalengan No. 340 Pangalengan",NA,NA,6,NA,12,NA,"082130781625","32","3204",2021-07-21 20:23:39,"Non COVID-19"
"17","RS Umum Bina Sehat ","Jl. Raya Dayeuhkolot No.325 Bandung",4,NA,0,NA,1,NA,"0225207963","32","3204",2021-07-21 20:23:39,"Non COVID-19"
"18","RS Umum AMC ","Jl. Raya Cileunyi No.1, Cileunyi Wetan, Cileunyi, Bandung, Jawa Barat 40622",22,NA,24,NA,26,NA,"0813-1656-0227","32","3204",2021-07-21 20:23:39,"Non COVID-19"
"19","RS Umum Daerah Cililin","Jl. Blok Cinta Karya Desa Cililin Kecamatan Cililin Kabupaten Bandung Barat",3,NA,4,NA,24,"12 jam","082216236728","32","3217",2021-07-21 20:23:39,"Non COVID-19"
"20","RS Umum Daerah Lembang","Jl. Raya Lembang KM.11,4 No.11 Desa Gudang Kahuripan Kec. Lembang",5,"12 jam",NA,NA,45,"12 jam","0222786879","32","3217",2021-07-21 20:23:39,"Non COVID-19"
"21","RS Karisma Cimareme","Jl. Raya Cimareme No. 235 RT. 03 RW. 01 Kec.Ngamprah",3,NA,12,NA,11,NA,"0226866221","32","3217",2021-07-21 20:23:39,"Non COVID-19"
"22","RS Ibu dan Anak Kartini","Jl. Letkol GA Manulang No. 46 Padalarang Bandung Barat",4,NA,2,NA,5,NA,"hotline tidak tersedia","32","3217",2021-07-21 20:23:39,"Non COVID-19"
"23","RS Jiwa Provinsi Jawa Barat","Jl. Kolonel Masturi KM 7 Cisarua - Bandung Barat",0,"12 jam",12,"12 jam",28,"12 jam","0222700909","32","3217",2021-07-21 20:23:39,"Non COVID-19"
"24","RS Umum Cahya Kawaluyan","Jl. Parahyangan KM. 3 - Kota Baru Parahyangan Kec. Padalarang KBB",0,NA,11,NA,26,NA,"0226803700","32","3217",2021-07-21 20:23:39,"Non COVID-19"
"25","RS Umum Daerah Depati Bahrin","Jl. Jend Sudirman No.195, Kel.Parit Padang Kec.Sungailiat Propinsi Kepulauan Bangka Belitung",12,"3 menit",12,"3 menit",26,"3 menit","071792489","19","1901",2021-07-21 20:23:40,"Non COVID-19"
"26","RS Umum Daerah Kab.Bangka Tengah","Jl. By Pass No 01 Kec.Koba,Kab. Bangka Tengah",17,"10 jam",17,"10 jam",45,"10 jam","085383884511","19","1904",2021-07-21 20:23:41,"Non COVID-19"
