"","hospital","address","bed_class1","last_update_class1","bed_class2","last_update_class2","bed_class3","last_update_class3","tlp_number","province","district","scraped_at","bed_type"
"1","RS Umum Daerah Dr. H. Yulidin Away","Jl. T. Ben Mahmud Nomor 86 A Tapaktuan",42,"2 menit",49,"2 menit",20,"2 menit","082198880051","11","1103",2021-08-06 22:48:49,"Non COVID-19"
"2","RS Umum Daerah Tamiang","Jl. Kesehatan Kab.Aceh Tamiang ",8,"47 menit",24,"47 menit",19,"47 menit","085372458720","11","1114",2021-08-06 22:48:49,"Non COVID-19"
"3","RS Umum Daerah Lubuk Basung","Jl. M.Hatta Padang Baru,Lubuk Basung",29,NA,34,NA,21,NA,"081261466699","13","1307",2021-08-06 22:48:50,"Non COVID-19"
"4","RS Daerah Kalabahi","Jl. Dr Sutomo Kalabahi Kab. Alor",6,"15 jam",21,"15 jam",48,"15 jam","082339126402","53","5307",2021-08-06 22:48:50,"Non COVID-19"
"5","RS Umum Mola","Jln. MASANG, RT 08 RW 04 KEL. WELAI TIMUR, KEC. TELUK MUTIARA, KAB. ALOR",NA,NA,NA,NA,3,"40 jam","08133864249","53","5307",2021-08-06 22:48:50,"Non COVID-19"
"6","RS Umum Daerah H. Abdul Manan Simatupang","Jl. Sisingamangaraja No. 310 Kisaran",16,"14 jam",11,"14 jam",34,"14 jam","081260809667","12","1208",2021-08-06 22:48:51,"Non COVID-19"
"7","RS Umum Ibu Kartini","Jl Syech Silau Rengas Kisaran",3,"37 jam",10,"37 jam",10,"37 jam","hotline tidak tersedia","12","1208",2021-08-06 22:48:51,"Non COVID-19"
"8","RS Umum Sei Dadap","Jl. Protokol Sei Dadap-Sumut",NA,NA,NA,NA,NA,NA,"082166064110","12","1208",2021-08-06 22:48:51,"Non COVID-19"
"9","RS Umum Wira Husada","Jl Kartini Nomor 209 Kisaran",1,NA,5,NA,14,NA,"082398963833","12","1208",2021-08-06 22:48:51,"Non COVID-19"
"10","RS Khusus Bedah BIMC","Jl. By Pass Ngurah Rai No.100X, Kuta - Badung",NA,NA,NA,NA,NA,NA,"0361761263","51","5103",2021-08-06 22:48:51,"Non COVID-19"
